chunk_id,chunk_type,source_id,category,culture_region,norm_type,scenario_pattern,condition_family,norm_statement,orientation,latent_variables,acceptable_if,not_acceptable_if,context_dependent_if,cultures_compared,source_ids,retrieval_text
NORM_SAC030,country_norm,SAC030,workplace,Thailand,face-saving,workplace situation involving face saving,face,Feedback is often expected to be softened to avoid embarrassment.,,employee; coworker/manager; hierarchy; professional role; meeting/public setting; organizational culture; face-saving; tone; public embarrassment; indirect communication; status; missing details; culture-specific expectation,"the behavior respects or accommodates Thailand expectations around face-saving, indirectness, calm interaction, and avoiding public embarrassment; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction; the issue is handled privately or indirectly enough to preserve dignity","the action creates avoidable embarrassment or disrupts harmony; the behavior conflicts with Thailand expectations around face-saving, indirectness, calm interaction, and avoiding public embarrassment; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation",tone is unclear; the audience is unclear; the seriousness of the issue is unclear; whether criticism is public; whether alternatives preserve dignity; how direct the wording is,,,"Country/cultural context: Thailand. Norm domain: Face Saving. Scenario pattern: workplace situation involving face saving. Category: workplace. Culture-specific norm statement: Feedback is often expected to be softened to avoid embarrassment. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, meeting/public setting, organizational culture, face-saving, tone, public embarrassment, indirect communication, status, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Thailand expectations around face-saving, indirectness, calm interaction, and avoiding public embarrassment; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction; the issue is handled privately or indirectly enough to preserve dignity. Not acceptable if: the action creates avoidable embarrassment or disrupts harmony; the behavior conflicts with Thailand expectations around face-saving, indirectness, calm interaction, and avoiding public embarrassment; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation. Context-dependent if: tone is unclear; the audience is unclear; the seriousness of the issue is unclear; whether criticism is public; whether alternatives preserve dignity; how direct the wording is."
NORM_SAC031,country_norm,SAC031,workplace,France,boundary,workplace situation involving boundary,privacy,"Delayed replies to non-urgent messages can be acceptable, especially outside work hours.",,employee; coworker/manager; hierarchy; professional role; meeting/public setting; organizational culture; boundary; host/guest role; privacy; politeness; social occasion; missing details; culture-specific expectation,"the actor sets a boundary without insulting or abandoning the other person; the behavior respects or accommodates France expectations around personal boundaries, hosting customs, privacy, and respect for social form; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with France expectations around personal boundaries, hosting customs, privacy, and respect for social form; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether the host invited informality; whether refusal is polite; whether norms were explicit; whether the boundary was communicated respectfully is unknown,,,"Country/cultural context: France. Norm domain: Boundary. Scenario pattern: workplace situation involving boundary. Category: workplace. Culture-specific norm statement: Delayed replies to non-urgent messages can be acceptable, especially outside work hours. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, meeting/public setting, organizational culture, boundary, host/guest role, privacy, politeness, social occasion, missing details, culture-specific expectation. Acceptable if: the actor sets a boundary without insulting or abandoning the other person; the behavior respects or accommodates France expectations around personal boundaries, hosting customs, privacy, and respect for social form; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with France expectations around personal boundaries, hosting customs, privacy, and respect for social form; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether the host invited informality; whether refusal is polite; whether norms were explicit; whether the boundary was communicated respectfully is unknown."
NORM_SAC032,country_norm,SAC032,workplace,Japan,responsiveness,workplace situation involving responsiveness,privacy,"Promptness is valued, but expectations depend on urgency and workplace policy.",,employee; coworker/manager; hierarchy; professional role; meeting/public setting; organizational culture; seniority; role; honorifics; public/private setting; group harmony; missing details; culture-specific expectation,"the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether informality was explicitly invited; how public the action is; whether it burdens the group,,,"Country/cultural context: Japan. Norm domain: Responsiveness. Scenario pattern: workplace situation involving responsiveness. Category: workplace. Culture-specific norm statement: Promptness is valued, but expectations depend on urgency and workplace policy. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, meeting/public setting, organizational culture, seniority, role, honorifics, public/private setting, group harmony, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether informality was explicitly invited; how public the action is; whether it burdens the group."
NORM_SAC033,country_norm,SAC033,workplace,US,accountability,workplace situation involving accountability,privacy,"Reporting may be acceptable for serious issues, but minor mistakes are often handled directly first.",,employee; coworker/manager; hierarchy; professional role; meeting/public setting; organizational culture; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Accountability. Scenario pattern: workplace situation involving accountability. Category: workplace. Culture-specific norm statement: Reporting may be acceptable for serious issues, but minor mistakes are often handled directly first. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, meeting/public setting, organizational culture, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC034,country_norm,SAC034,workplace,China,group-harmony,workplace situation involving face or harmony,face,Bypassing the coworker may be seen as damaging harmony and trust unless the issue is serious.,,employee; coworker/manager; hierarchy; professional role; meeting/public setting; organizational culture; family duty; status hierarchy; face-saving; reciprocity; public image; missing details; culture-specific expectation,"the behavior respects or accommodates China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction; the issue is handled privately or indirectly enough to preserve dignity","the action creates avoidable embarrassment or disrupts harmony; the behavior conflicts with China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation",tone is unclear; the audience is unclear; the seriousness of the issue is unclear; age and role of each person; whether the issue affects family reputation; whether disagreement is public,,,"Country/cultural context: China. Norm domain: Group Harmony. Scenario pattern: workplace situation involving face or harmony. Category: workplace. Culture-specific norm statement: Bypassing the coworker may be seen as damaging harmony and trust unless the issue is serious. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, meeting/public setting, organizational culture, family duty, status hierarchy, face-saving, reciprocity, public image, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction; the issue is handled privately or indirectly enough to preserve dignity. Not acceptable if: the action creates avoidable embarrassment or disrupts harmony; the behavior conflicts with China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation. Context-dependent if: tone is unclear; the audience is unclear; the seriousness of the issue is unclear; age and role of each person; whether the issue affects family reputation; whether disagreement is public."
NORM_SAC035,country_norm,SAC035,workplace,Italy,expressive-discussion,workplace situation involving expressive discussion,privacy,"Conversational overlap can occur, but repeated interruption may still be disrespectful.",,employee; coworker/manager; hierarchy; professional role; meeting/public setting; organizational culture; family closeness; frequency; tone; relationship closeness; social expectation; missing details; culture-specific expectation,"the behavior respects or accommodates Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether absence is explained; whether discussion is affectionate or hostile; how often it occurs,,,"Country/cultural context: Italy. Norm domain: Expressive Discussion. Scenario pattern: workplace situation involving expressive discussion. Category: workplace. Culture-specific norm statement: Conversational overlap can occur, but repeated interruption may still be disrespectful. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, meeting/public setting, organizational culture, family closeness, frequency, tone, relationship closeness, social expectation, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether absence is explained; whether discussion is affectionate or hostile; how often it occurs."
NORM_SAC036,country_norm,SAC036,workplace,Japan,turn-taking,workplace situation involving turn taking,privacy,Interrupting can signal disrespect and disrupt orderly discussion.,,employee; coworker/manager; hierarchy; professional role; meeting/public setting; organizational culture; seniority; role; honorifics; public/private setting; group harmony; missing details; culture-specific expectation,"the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether informality was explicitly invited; how public the action is; whether it burdens the group,,,"Country/cultural context: Japan. Norm domain: Turn Taking. Scenario pattern: workplace situation involving turn taking. Category: workplace. Culture-specific norm statement: Interrupting can signal disrespect and disrupt orderly discussion. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, meeting/public setting, organizational culture, seniority, role, honorifics, public/private setting, group harmony, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether informality was explicitly invited; how public the action is; whether it burdens the group."
NORM_SAC037,country_norm,SAC037,communication,US,constructive-feedback,communication situation involving directness or feedback,direct,"Feedback is acceptable when invited, but harsh wording may hurt the relationship.",,speaker; listener; directness; tone; face-saving; audience; relationship; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; directness is constructive, specific, and expected in that setting; the relationship can support frank feedback","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; directness becomes insulting, humiliating, or careless; the listener loses face or is criticized publicly",tone is unknown; the relationship is unknown; the feedback purpose is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Constructive Feedback. Scenario pattern: communication situation involving directness or feedback. Category: communication. Culture-specific norm statement: Feedback is acceptable when invited, but harsh wording may hurt the relationship. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; directness is constructive, specific, and expected in that setting; the relationship can support frank feedback. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; directness becomes insulting, humiliating, or careless; the listener loses face or is criticized publicly. Context-dependent if: tone is unknown; the relationship is unknown; the feedback purpose is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC038,country_norm,SAC038,communication,Japan,indirect-feedback,communication situation involving indirect feedback,direct,Indirect phrasing is often preferred to preserve the friend’s dignity.,,speaker; listener; directness; tone; face-saving; audience; relationship; seniority; role; honorifics; public/private setting; group harmony; missing details; culture-specific expectation,"direct wording is expected and remains constructive rather than insulting; the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; directness is constructive, specific, and expected in that setting; the relationship can support frank feedback","the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; directness becomes insulting, humiliating, or careless; the listener loses face or is criticized publicly",tone is unknown; the relationship is unknown; the feedback purpose is unclear; whether informality was explicitly invited; how public the action is; whether it burdens the group; whether the directness was tactful is unknown,,,"Country/cultural context: Japan. Norm domain: Indirect Feedback. Scenario pattern: communication situation involving indirect feedback. Category: communication. Culture-specific norm statement: Indirect phrasing is often preferred to preserve the friend’s dignity. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, seniority, role, honorifics, public/private setting, group harmony, missing details, culture-specific expectation. Acceptable if: direct wording is expected and remains constructive rather than insulting; the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; directness is constructive, specific, and expected in that setting; the relationship can support frank feedback. Not acceptable if: the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; directness becomes insulting, humiliating, or careless; the listener loses face or is criticized publicly. Context-dependent if: tone is unknown; the relationship is unknown; the feedback purpose is unclear; whether informality was explicitly invited; how public the action is; whether it burdens the group; whether the directness was tactful is unknown."
NORM_SAC039,country_norm,SAC039,communication,US,conversational-respect,communication situation involving hierarchy or respect,hierarchy,Abruptly ending a call is usually considered disrespectful unless there is a safety concern.,,speaker; listener; directness; tone; face-saving; audience; relationship; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; informality or disagreement is explicitly invited; the setting is egalitarian or informal; the challenge is constructive and respectfully phrased","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly undermines a superior or elder; formal titles or deference are expected; the actor ignores role/status differences",organizational culture is unknown; relative age/status is unknown; whether informality was invited is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Conversational Respect. Scenario pattern: communication situation involving hierarchy or respect. Category: communication. Culture-specific norm statement: Abruptly ending a call is usually considered disrespectful unless there is a safety concern. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; informality or disagreement is explicitly invited; the setting is egalitarian or informal; the challenge is constructive and respectfully phrased. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly undermines a superior or elder; formal titles or deference are expected; the actor ignores role/status differences. Context-dependent if: organizational culture is unknown; relative age/status is unknown; whether informality was invited is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC040,country_norm,SAC040,communication,Brazil,expressive-conflict,communication situation involving expressive conflict,privacy,"Emotional expression may be more tolerated, but abruptly ending communication can still damage trust.",,speaker; listener; directness; tone; face-saving; audience; relationship; trust; warmth; relationship closeness; emotional expression; flexibility; missing details; culture-specific expectation,"the behavior respects or accommodates Brazil expectations around relational warmth, trust, expressiveness, flexible time, and closeness; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with Brazil expectations around relational warmth, trust, expressiveness, flexible time, and closeness; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether closeness has been established; whether expressiveness becomes disrespectful; whether timing was agreed,,,"Country/cultural context: Brazil. Norm domain: Expressive Conflict. Scenario pattern: communication situation involving expressive conflict. Category: communication. Culture-specific norm statement: Emotional expression may be more tolerated, but abruptly ending communication can still damage trust. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, trust, warmth, relationship closeness, emotional expression, flexibility, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Brazil expectations around relational warmth, trust, expressiveness, flexible time, and closeness; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with Brazil expectations around relational warmth, trust, expressiveness, flexible time, and closeness; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether closeness has been established; whether expressiveness becomes disrespectful; whether timing was agreed."
NORM_SAC041,country_norm,SAC041,communication,US,confidence,communication situation involving confidence,privacy,"Eye contact often signals confidence, but neurodiversity, shyness, or respect may affect interpretation.",,speaker; listener; directness; tone; face-saving; audience; relationship; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Confidence. Scenario pattern: communication situation involving confidence. Category: communication. Culture-specific norm statement: Eye contact often signals confidence, but neurodiversity, shyness, or respect may affect interpretation. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC042,country_norm,SAC042,communication,Japan,respect,communication situation involving hierarchy or respect,hierarchy,Reduced direct eye contact can be interpreted as respectful rather than evasive.,,speaker; listener; directness; tone; face-saving; audience; relationship; seniority; role; honorifics; public/private setting; group harmony; missing details; culture-specific expectation,"the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; informality or disagreement is explicitly invited; the setting is egalitarian or informal; the challenge is constructive and respectfully phrased","the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; the action publicly undermines a superior or elder; formal titles or deference are expected; the actor ignores role/status differences",organizational culture is unknown; relative age/status is unknown; whether informality was invited is unknown; whether informality was explicitly invited; how public the action is; whether it burdens the group,,,"Country/cultural context: Japan. Norm domain: Respect. Scenario pattern: communication situation involving hierarchy or respect. Category: communication. Culture-specific norm statement: Reduced direct eye contact can be interpreted as respectful rather than evasive. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, seniority, role, honorifics, public/private setting, group harmony, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; informality or disagreement is explicitly invited; the setting is egalitarian or informal; the challenge is constructive and respectfully phrased. Not acceptable if: the behavior conflicts with Japan expectations around hierarchy, role formality, group harmony, indirectness, and reliability; the action publicly undermines a superior or elder; formal titles or deference are expected; the actor ignores role/status differences. Context-dependent if: organizational culture is unknown; relative age/status is unknown; whether informality was invited is unknown; whether informality was explicitly invited; how public the action is; whether it burdens the group."
NORM_SAC043,country_norm,SAC043,communication,Korea,hierarchy-and-politeness,communication situation involving hierarchy and politeness,hierarchy,"Formal speech can show respect, especially when relationship closeness is unclear.",,speaker; listener; directness; tone; face-saving; audience; relationship; age; status; politeness level; responsiveness; public image; missing details; culture-specific expectation,"the behavior respects or accommodates Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; informality or disagreement is explicitly invited; the setting is egalitarian or informal; the challenge is constructive and respectfully phrased","the actor ignores expected titles, seniority, or formal role boundaries; the behavior conflicts with Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; the action publicly undermines a superior or elder; formal titles or deference are expected; the actor ignores role/status differences",organizational culture is unknown; relative age/status is unknown; whether informality was invited is unknown; relative age/status; whether criticism is public; whether delay signals disrespect; whether formal address is expected is unknown,,,"Country/cultural context: Korea. Norm domain: Hierarchy And Politeness. Scenario pattern: communication situation involving hierarchy and politeness. Category: communication. Culture-specific norm statement: Formal speech can show respect, especially when relationship closeness is unclear. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, age, status, politeness level, responsiveness, public image, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; informality or disagreement is explicitly invited; the setting is egalitarian or informal; the challenge is constructive and respectfully phrased. Not acceptable if: the actor ignores expected titles, seniority, or formal role boundaries; the behavior conflicts with Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; the action publicly undermines a superior or elder; formal titles or deference are expected; the actor ignores role/status differences. Context-dependent if: organizational culture is unknown; relative age/status is unknown; whether informality was invited is unknown; relative age/status; whether criticism is public; whether delay signals disrespect; whether formal address is expected is unknown."
NORM_SAC044,country_norm,SAC044,communication,US,informality,communication situation involving informality,privacy,Formal language is polite but may create distance in casual peer interactions.,,speaker; listener; directness; tone; face-saving; audience; relationship; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"informality is normal in this specific setting or has been invited; the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the actor ignores expected titles, seniority, or formal role boundaries; the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether the setting is actually informal is unknown; whether formal address is expected is unknown,,,"Country/cultural context: US. Norm domain: Informality. Scenario pattern: communication situation involving informality. Category: communication. Culture-specific norm statement: Formal language is polite but may create distance in casual peer interactions. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: informality is normal in this specific setting or has been invited; the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the actor ignores expected titles, seniority, or formal role boundaries; the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether the setting is actually informal is unknown; whether formal address is expected is unknown."
NORM_SAC045,country_norm,SAC045,communication,US,emotional-expression,communication situation involving emotional expression,privacy,"Open emotional communication is often valued, but privacy is also respected.",,speaker; listener; directness; tone; face-saving; audience; relationship; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Emotional Expression. Scenario pattern: communication situation involving emotional expression. Category: communication. Culture-specific norm statement: Open emotional communication is often valued, but privacy is also respected. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC046,country_norm,SAC046,communication,Finland,reserved-communication,communication situation involving reserved communication,privacy,Concise communication and emotional privacy are often socially acceptable.,,speaker; listener; directness; tone; face-saving; audience; relationship; reservedness; privacy; silence; personal space; missing details; culture-specific expectation,"the behavior respects or accommodates Finland expectations around reserved communication, privacy, personal space, and low-pressure interaction; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the behavior conflicts with Finland expectations around reserved communication, privacy, personal space, and low-pressure interaction; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether silence means discomfort; whether directness is necessary; relationship closeness,,,"Country/cultural context: Finland. Norm domain: Reserved Communication. Scenario pattern: communication situation involving reserved communication. Category: communication. Culture-specific norm statement: Concise communication and emotional privacy are often socially acceptable. Relevant latent variables: speaker, listener, directness, tone, face-saving, audience, relationship, reservedness, privacy, silence, personal space, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Finland expectations around reserved communication, privacy, personal space, and low-pressure interaction; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the behavior conflicts with Finland expectations around reserved communication, privacy, personal space, and low-pressure interaction; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether silence means discomfort; whether directness is necessary; relationship closeness."
